
ID-x-y-z-xVel-yVel-zVel-massVector
sun;24888558828.302372;-133016823371.54318;-57663388819.57566;29844.62098132769;4767.645560137431;1983.2583758354187;1.9885e+30
mercury;15389580437.431612;-194372851816.1832;-89454629900.92184;68362.17898202737;2487.6077929178873;-3227.1352944056193;3.302e+23
venus;133079362509.51083;-123380422961.95682;-60173756586.11452;27140.275046857198;36385.03322741191;16397.188427289326;4.8685e+24
earth;1000.0;0.0;0.0;0.0;0.0;0.0;5.97237e+24
moon;390243789.0766681;-76451490.12679236;-70699010.312285;248.29447042470176;872.5876048429559;340.2829875157525;7.349e+22
mars;-172610422881.12207;-255398262930.53885;-108465835852.45749;44174.549615859985;-11502.392826207479;-5734.4940343856815;6.4171e+23
phobos;-172610721746.97412;-255389961940.33646;-108461479550.06561;42415.003543345134;-12103.034807459513;-4996.258242416382;1.08e+20
deimos;-172599432851.942;-255413517132.69653;-108479847811.42741;45262.211417770384;-10693.602658462525;-5789.017315991719;1.8e+20
ceres;175599120486.21637;-490574264417.39825;-256945884199.37967;45723.43155466716;10560.304988098145;1543.6530537923177;9.3835e+20
jupiter;103568159584.03073;-847464171346.7253;-365811563315.14825;42981.866596603395;6571.208070882161;2765.2004725138345;1.89813e+27
io;103869847079.78606;-847731971006.7295;-365934453214.1727;54736.23181527456;18007.18831685384;7746.147925313314;8.931938e+22
europa;102901463558.79402;-847458593391.281;-365824556431.8126;43237.617628924054;-5862.465608723958;-3257.739400736491;4.799844e+22
ganymede;102582231578.69197;-847838115609.4452;-366005540483.0763;46578.31347465515;-2350.094483947754;-1927.4992144266764;1.482e+23
callisto ;105079792433.8248;-848472293925.4601;-366264439702.2875;47319.26819953918;12491.321715799968;5762.457851155599;1.076e+23
saturn ;592917877749.4161;-1408465842565.0923;-608955365419.7462;38723.103699239095;8265.015952555339;3487.496057128906;5.6834e+26
mimas;592756508864.381;-1408370520573.9773;-608952582405.9937;30519.52783610026;-3764.579967244466;4200.611190795898;3.75e+19
tethys;593056099755.2145;-1408207187936.3232;-608983111720.8221;29194.487283325194;13703.523419189452;4380.395901997884;6.17449e+20
dione;592829606071.2483;-1408830276319.415;-608920700196.44;48164.293188476564;5906.734060668945;2454.50658009847;1.09572e+21
rhea;592445770392.8335;-1408231606844.5623;-608934175362.3618;34655.63486480713;712.2757049560547;3918.0270955403644;2.309e+21
titan;591684521121.7512;-1408243308682.3044;-608861044620.929;37438.007332865396;2662.503062947591;4209.181518046061;1.34553e+23
hyperion;591320016021.7384;-1407990912288.6956;-608844226029.0663;36884.146287027994;3953.9576161702475;3481.821095275879;1.08e+19
iapetus;591319530850.802;-1411703393150.0488;-609230053564.9382;41512.76345825195;7488.853236897787;1523.0068191528321;1.8059e+21
phoebe;589683312390.0736;-1395552229554.7937;-602876099044.5331;39287.33208974203;8925.637255859376;2291.5421915690104;8.289e+18
uranus;2452222776867.6255;1438741112438.593;596402314917.5602;26685.19486287435;8464.900529988607;3568.1065475463865;8.6813e+25
ariel;2452296185487.3945;1438772675171.8198;596228817832.8042;20379.618345133462;11956.809368896484;2796.3411310831707;1.353e+21
umbriel;2452232944629.8584;1438667684299.1172;596656944454.0018;30535.261968994142;8325.828513590495;4252.713646952311;1.172e+21
titania;2452112131147.2373;1438876405792.6597;596003469028.3394;23198.829571533202;8818.369549560546;5129.979523722331;3.527e+21
oberon;2452790018244.8413;1438636030774.139;596322294859.9049;25676.496795654297;10265.32351175944;1416.0611943562826;3.014e+21
miranda;2452338765885.2144;1438736095824.0127;596344021489.6394;23032.7190633138;11115.585125732421;-1129.3408075968425;6.59e+19
neptune;4399546025414.16;-974641113223.3839;-511099175834.7969;30962.235270182293;9923.219872029622;3453.143172454834;1.02413e+26
triton;4399248256186.258;-974769274378.0402;-510955439378.4553;31625.2212117513;9774.129146321615;10014.379642995198;2.147e+22
pluto;1966138781183.637;-4415081044956.481;-1978810766577.0957;32325.13962809245;5169.658911132812;653.3795308430989;1.307e+22
charon;1966150699274.9148;-4415068410585.727;-1978802116537.5327;35559.65970153808;6546.043863932292;629.3849100748698;1.53e+21
eris;12917012888331.943;6182058286290.423;-505782821436.9227;30530.205200195312;3066.5068237304686;9407.52238922119;1.66e+22
voyager1;-4346405040162.7173;-21307492210415.617;4617536629610.564;29629.32826131185;-12994.835400390624;1446.1537679036458;721.9
voyager2;5093091974642.591;-8403022181315.945;-15637216769729.232;41787.19818522136;-13.882157389322916;-9245.24610188802;825.5
